"total_cost","Nclaims","age","gender","agelic","agecar","parking","tkm","nightkm","urbankm","speedkm","cost"
605.97,1,26.9705681,0,5.557837098,9.776865161,1,6258.467,298.89,9.708080269,5.893248299,605.97
606.96,1,29.77412731,1,5.199178645,9.560574949,1,3855.798,241.628,39.89716266,0.692826751,606.96
1214.95,2,24.47091034,1,6.308008214,11.32922656,0,4485.195,713.404,41.50452767,1.150875269,607.475
612.31,1,29.93839836,1,10.71047228,7.225188227,1,5993.208,66.561,21.08967351,36.30478034,612.31
613.06,1,32.52019165,1,13.19644079,6.028747433,0,4229.937,323.403,12.21261688,5.922523196,613.06
617.1,1,26.37919233,0,4.030116359,8.572210815,1,13071.829,176.069,9.567077415,17.0127302,617.1
1871.97,3,28.62422998,0,5.579739904,4.501026694,1,5514.792,324.383,45.10585349,4.210603047,623.99
1253.59,2,23.02806297,1,3.915126626,10.55715264,1,7984.388,737.949,24.15768121,8.081245551,626.795
1260.29,2,23.18959617,0,3.61670089,4.109514031,1,12185.416,2381.062,11.30023792,2.530057242,630.145
637.37,1,25.51950719,0,4.262833676,4.509240246,1,5588.503,264.749,31.60579855,9.908950572,637.37
1923.18,3,25.18822724,1,4.599589322,8.572210815,1,6185.932,490.24,9.764187515,7.190751531,641.06
647.35,1,20.67077344,1,2.36550308,5.776865161,0,2593.936,115.285,14.5214454,1.344983068,647.35
1298.5,2,32.14784394,0,5.503080082,7.362080767,1,9100.894,122.861,15.66185696,11.85886793,649.25
649.65,1,26.91307324,1,6.283367556,10.32717317,1,3529.795,331.513,27.05089106,4.803536749,649.65
652.51,1,28.44900753,1,7.329226557,6.362765229,1,5298.713,1184.429,30.03633146,2.032002866,652.51
1306.69,2,31.40041068,1,13.2019165,12.29295003,1,27235.952,1314.634,16.70609127,14.06697662,653.345
656.49,1,31.18412047,0,8.783025325,7.446954141,1,6253.864,227.891,29.79137378,13.20174215,656.49
1324.9,2,23.58932238,0,3.296372348,9.11156742,1,8256.119,104.871,22.18254122,0.651322976,662.45
1328.25,2,23.92334018,1,4.982888433,9.11156742,1,5577.819,372.12,37.69663376,3.357118616,664.125
1333,2,26.2477755,0,5.062286105,4.197125257,1,4495.584,312.947,23.20459366,7.362536213,666.5
670.17,1,27.46338125,0,8.741957563,4.911704312,1,10971.521,509.87,12.627128,5.308698767,670.17
1348.37,2,30.9650924,0,7.47980835,12.66529774,1,2786.36,189.319,61.99087699,8.090088861,674.185
676.71,1,28.22176591,1,8.881587953,5.615331964,1,11552.809,1824.377,14.79082706,21.68672571,676.71
679.34,1,26.48323066,1,7.627652293,7.446954141,1,5235.847,924.35,14.29300742,18.45634527,679.34
1359.57,2,23.03080082,0,4.358658453,6.110882957,1,3277.882,276.596,28.49117204,6.303674141,679.785
686.18,1,26.34633812,0,3.044490075,3.195071869,1,10065.2,586.225,19.71500815,13.43813337,686.18
690.32,1,25.44284736,0,4.353182752,16.65434634,0,6844.439,247.884,28.0176067,1.76499491,690.32
692.16,1,24.55852156,1,4.752908966,18.89938398,1,10999.458,1031.766,17.74000137,5.268086846,692.16
1395.27,2,25.12251882,1,5.371663244,6.110882957,1,14173.242,1208.965,28.64587368,8.589735503,697.635
1411.99,2,28.26283368,0,6.171115674,6.529774127,1,6915.493,104.525,34.24438431,1.756085936,705.995
712.3,1,26.57357974,0,5.963039014,8.361396304,0,7507.927,513.831,29.76647216,4.367090943,712.3
715.75,1,34.06707734,0,7.893223819,4.528405202,1,3503.192,12.201,43.21244739,1.17527101,715.75
1438.94,2,30.4476386,1,9.437371663,5.363449692,1,6766.142,187.605,42.56152177,7.241556562,719.47
1446.95,2,28.1724846,1,7.838466804,14.03422313,1,9264.159,474.766,17.03551288,4.508385489,723.475
1464.91,2,24.27104723,0,5.420944559,15.52908966,1,4086.723,44.74,17.13700684,0.95891011,732.455
1473.82,2,32.46269678,0,4.971937029,7.110198494,1,10083.464,352.914,10.7476756,4.663704854,736.91
1477.72,2,30.31895962,1,11.02258727,9.971252567,1,4745.789,197.292,46.59162049,11.77157265,738.86
1480.03,2,22.06707734,1,2.480492813,15.01437372,1,8216.023,800.566,34.95105844,12.96426507,740.015
743.03,1,27.3155373,0,8.878850103,8.194387406,1,15258.205,601.251,23.50259418,16.38169759,743.03
749.81,1,26.45585216,0,5.464750171,16.5065024,0,3913.622,465.991,42.5128436,0.997643615,749.81
753.28,1,25.94387406,0,5.650924025,10.63381246,1,2496.611,1.095,53.61944652,1.662333459,753.28
1506.75,2,31.35386721,1,7.348391513,5.11156742,1,10350.044,821.047,15.44652371,8.413780656,753.375
756.97,1,28.5065024,0,8.131416838,7.110198494,1,13130.215,277.793,8.886389141,13.74539564,756.97
758.68,1,29.31143053,0,5.60164271,6.776180698,1,6947.295,24.819,25.47581469,0.835303525,758.68
762.06,1,30.11909651,0,6.937713895,19.65229295,1,2627.263,294.017,49.69178952,5.36417557,762.06
764.82,1,21.98767967,0,2.891170431,15.01437372,0,3283.37,77.008,11.12442399,15.73931662,764.82
765.97,1,29.79876797,1,5.095140315,5.615331964,1,12349.828,759.112,24.15350238,5.277530991,765.97
770.68,1,25.02669405,1,2.699520876,4.194387406,1,11380.282,298.499,11.29974635,18.52456732,770.68
774.82,1,26.25598905,0,6.576317591,7.110198494,1,6654.561,682.864,35.82828379,5.308419293,774.82
776.16,1,23.76454483,0,4.66255989,4.501026694,1,7814.336,258.332,22.27448372,6.68228241,776.16
778.19,1,28.3559206,1,7.088295688,5.281314168,1,13854.641,101.149,3.866076357,13.24759696,778.19
1565.41,2,26.6201232,1,2.625598905,20.20533881,1,14085.304,668.637,15.89637682,0.409412534,782.705
1576.98,2,30.11635866,0,7.498973306,9.667351129,1,9802.445,383.63,21.50816454,1.746125584,788.49
790.67,1,27.74537988,1,8.862422998,13.30869268,0,2660.131,133.525,42.93799817,3.785978961,790.67
793.27,1,32.15058179,0,9.80971937,8.90349076,1,3286.581,1126.525,22.77765252,2.714036258,793.27
1590.17,2,21.0513347,1,2.767967146,11.40041068,1,15191.348,673.897,21.79017293,1.800340562,795.085
808.97,1,24.45722108,0,3.68788501,6.691307324,1,10984.077,1301.438,47.21049388,7.016356495,808.97
1622.5,2,26.86379192,0,6.882956879,9.32238193,0,8615.602,112.664,26.75670255,2.365464421,811.25
818.16,1,27.61943874,0,3.72073922,6.529774127,1,4883.688,586.633,27.00377256,5.586863862,818.16
1644.69,2,33.61533196,0,3.143052704,13.86173854,0,5775.263,211.171,12.99471557,1.706952566,822.345
826.67,1,26.74880219,0,7.348391513,10.63381246,1,5017.523,75.006,29.74653031,1.186701087,826.67
840.57,1,26.97330595,1,7.12936345,13.49760438,1,3180.093,163.829,30.54435829,10.25023482,840.57
847.06,1,29.3853525,0,10.82819986,5.363449692,1,5918.71,391.838,50.96573409,3.099188844,847.06
849.66,1,25.14442163,0,5.393566051,6.028747433,1,5859.051,174.54,9.246531563,2.92980894,849.66
851.68,1,30.6146475,1,4.27926078,16.31485284,1,16781.546,1692.357,34.22008318,3.930537747,851.68
1711.69,2,28.15605749,0,6.715947981,20.46817248,1,10306.118,889.533,41.28900911,2.489463055,855.845
857.6,1,25.08418891,0,5.122518823,9.448323066,1,8231.71,659.962,19.24970632,32.92926986,857.6
866,1,21.45927447,0,2.305270363,15.01437372,0,5441.493,94.887,35.88200885,1.438741169,866
1744.75,2,23.56194387,1,5.464750171,6.691307324,1,9443.022,392.837,55.89867312,21.40809372,872.375
875.48,1,30.2532512,0,11.38398357,2.861054073,1,6824.995,1013.146,7.967595581,18.14722209,875.48
885.37,1,30.60643395,0,5.880903491,3.195071869,1,8970.794,96.913,10.55568771,7.207388777,885.37
1774.5,2,21.13894593,0,2.392881588,8.862422998,1,5577.578,234.332,20.48166785,3.40049032,887.25
